ID,command,encrypted_cmd
4,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
6,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
7,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
7,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
8,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
9,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
10,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
11,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
12,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
13,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
14,{'axes': {'0': 0.0181884765625, '1': 0.021881103515625, '2': -1.0, '3': 0.045166015625, '4': 0.022369384765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4e4410e2d9f0b16dda6823ef2d6b2e59c984b3c5bc86c77922947835204d8c2390bd0252890e579da2d4aba436
